epsilon,seed,uk_epsilon,opt_epsilon,uk_seed,opt_seed,uk_gini,opt_gini,uk_revenue,opt_revenue,uk_welfare,opt_welfare,uk_allowance,opt_allowance,uk_basic_threshold,opt_basic_threshold,uk_higher_threshold,opt_higher_threshold,uk_basic_rate,opt_basic_rate,uk_higher_rate,opt_higher_rate,uk_additional_rate,opt_additional_rate
1.0,42,1.0,1.0,42.0,42.0,0.3337592319073099,0.3199767987589188,28020223.964420963,26622477.89512498,32324.486678634406,32898.7295704751,12570.0,19021.79974214706,50270.0,45061.907320119055,125140.0,102291.65276996748,0.2,0.1919284177826731,0.4,0.4284909395484662,0.45,0.4784909395484662
1.0,101,1.0,1.0,101.0,101.0,0.3292633325291325,0.3210003396857108,27404955.516131267,26035096.80947017,32187.561988688216,32732.307134749524,12570.0,17788.56845435278,50270.0,51226.53561844093,125140.0,105297.79568129402,0.2,0.2116252729812038,0.4,0.4246348720048627,0.45,0.4746348720048627
1.0,202,1.0,1.0,202.0,202.0,0.3354027709388965,0.3344739598387185,28061518.02217453,26659995.791042585,32208.695713898265,32748.41107154729,12570.0,14740.904161981298,50270.0,52509.075398345725,125140.0,114003.5987743474,0.2,0.1971236884583678,0.4,0.4098472912859079,0.45,0.4598472912859079
1.0,303,1.0,1.0,303.0,303.0,0.3301357368681092,0.3304891493473967,27476610.981806837,26104040.7182378,32180.027396485875,32748.90187297289,12570.0,15356.134203283864,50270.0,55543.47649523139,125140.0,103874.34719002972,0.2,0.2122744704573264,0.4,0.4043688710553318,0.45,0.4543688710553318
1.0,404,1.0,1.0,404.0,404.0,0.3329626007892767,0.3280397942342967,27800209.93219276,26410395.578149773,32160.5879275842,32701.486444958748,12570.0,16017.382775553531,50270.0,52761.26314514053,125140.0,103149.2323319826,0.2,0.204193615229852,0.4,0.4146243283027273,0.45,0.4740403785191066
1.0,505,1.0,1.0,505.0,505.0,0.3373613388896237,0.3394920125577632,28251175.46840628,26838940.61809605,32262.699356474128,32811.635815727044,12570.0,14930.537484174774,50270.0,45035.059798196366,125140.0,105178.76883913536,0.2,0.1897180748162321,0.4,0.3795265946123589,0.45,0.4295265946123589
1.0,606,1.0,1.0,606.0,606.0,0.3322580487259001,0.3262579379430437,28006109.043534853,26605817.75326156,32380.0976755336,32910.05952689633,12570.0,15997.881930280955,50270.0,46986.15487905841,125140.0,101792.82340287342,0.2,0.1918445440798087,0.4,0.3932672914016539,0.45,0.4804368543067199
1.0,707,1.0,1.0,707.0,707.0,0.3338508381064737,0.3275775101923368,28121889.038781215,26719940.43007125,32359.780813615293,32913.112080305276,12570.0,18961.85051555999,50270.0,50260.3731492902,125140.0,104738.65065164796,0.2,0.226744925622114,0.4,0.4108873278945589,0.45,0.4608873278945589
1.0,808,1.0,1.0,808.0,808.0,0.3332177695945919,0.3241042748585427,27712694.60111869,26327540.24170418,32151.8199461447,32707.226045501873,12570.0,19005.33838960686,50270.0,56956.43385027842,125140.0,104294.76048075712,0.2,0.2359446631737666,0.4,0.4358041863434432,0.45,0.4858041863434432
1.0,909,1.0,1.0,909.0,909.0,0.3284183849281619,0.320575674224544,27199465.57217969,25840823.29093045,32084.687550510134,32639.8941179782,12570.0,18323.0988812866,50270.0,50849.72970903582,125140.0,103148.50005434256,0.2,0.2175862873801853,0.4,0.4195049340351485,0.45,0.4728504392081428
